LocalID,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber
648547,3090,1216,Bulgaria stay with holiday trips 05,Trip,3,undetected,-1,Bulgaria,15,120,286,4
648548,3091,1216,Italy Gargano and Apulia Caribbean Mediterranean,Trip,3,undetected,-1,Stays with trips,6,30,78,5
648549,3092,1216,Greece and Bulgaria stay with tours,Trip,3,undetected,-1,Stays with trips,6,720,2010,6
648551,3096,1216,Corsica Corsica with light tourism holiday 05,Trip,3,undetected,-1,Tours with lightweight tourism,19,60,184,8
648552,3097,1216,HOWTOJOIN,Trip,3,undetected,-1,exotica,5,60,191,9
648553,3098,1216,Bulgarian national parks and the sea Bulgaria holiday 05,Trip,3,undetected,-1,Tours with lightweight tourism,19,60,198,10
648554,3099,1216,DISCOUNT,Info,4,Sales,8,In general,1000,30,101,11
648555,3044,1217,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648556,3044,1218,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648557,3058,1218,lastminute,Search,2,Catalog,5,Lastminute,101,60,101,2
648558,3093,1218,New Year&#39;s Eve New Year&#39;s Eve 04 05 cross-country Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,62,3
648559,3044,1219,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648560,3048,1219,water,Search,2,Catalog,5,Water,2,60,101,2
648561,3049,1219,rafting,Search,2,Catalog,5,rafting,24,30,62,3
648562,3046,1219,hiking,Search,2,Catalog,5,Hiking,3,30,71,4
648563,3094,1220,HOWTOJOIN,Trip,3,undetected,-1,Tourism,1,30,30,1
648564,3044,1221,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648565,3044,1222,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648566,3044,1223,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648567,3095,1224,21 countries,Search,2,Country,2,In general,1000,60,60,1
648568,3044,1224,TravelAgency,Info,1,homepage,1,In general,1000,30,50,2
648569,3044,1225,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648570,3044,1226,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648571,3065,1226,CATALOG,Info,4,Send catalog,7,In general,1000,60,101,2
648572,3044,1227,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648573,3100,1228,52 countries,Search,2,Country,2,In general,1000,60,60,1
648575,3103,1228,tours with tents,Search,2,Catalog,5,Tourism,1,30,62,3
648574,3101,1228,England London with tours,Trip,3,undetected,-1,School tours,7,180,304,2
648576,3102,1229,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648578,3045,1230,tours with tents,Search,2,Catalog,5,Tourism,1,60,101,2
648577,3102,1230,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,180,180,1
648579,3105,1230,Scotland on foot from south to north Scotland vacation 05,Trip,3,undetected,-1,Tourism,1,30,62,3
648580,3102,1230,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,120,286,4
648581,3102,1231,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648582,3102,1232,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648583,3044,1233,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648584,3044,1233,TravelAgency,Info,1,homepage,1,In general,1000,30,50,2
648585,3048,1233,water,Search,2,Catalog,5,Water,2,60,125,3
648586,3049,1233,rafting,Search,2,Catalog,5,rafting,24,30,71,4
648587,3104,1233,day rafting in Bohemia: Sázava Stvořidla WW III,Trip,3,undetected,-1,rafting,24,30,78,5
648588,3046,1234,hiking,Search,2,Catalog,5,Hiking,3,30,30,1
648589,3102,1235,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648590,3102,1236,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648591,3044,1237,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648592,3044,1238,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648594,3106,1238,Romanian Danube delta on ships and dry feet,Trip,3,undetected,-1,Tourism,1,240,503,3
648595,3108,1238,Romania over the mountains and monasteries in Transylvania Dracula,Trip,3,undetected,-1,Tours with lightweight tourism,19,30,71,4
648596,3106,1238,Romanian Danube delta on ships and dry feet,Trip,3,undetected,-1,Tourism,1,30,78,5
648593,3064,1238,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,101,2
648597,3044,1239,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648598,3065,1239,CATALOG,Info,4,Send catalog,7,In general,1000,60,101,2
648599,3044,1240,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648600,3044,1241,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648601,3058,1241,lastminute,Search,2,Catalog,5,Lastminute,101,30,50,2
648602,3107,1242,"Ireland, England, Wales, Ireland, the land of Celtic traditions",Trip,3,undetected,-1,Tourism,1,30,30,1
648603,3044,1243,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648604,3109,1244,country 2,Search,2,Country,2,In general,1000,30,30,1
648605,3110,1245,England France Ireland capital Dublin paoí London sightseeing tour,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648606,3044,1246,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648607,3044,1247,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648608,3111,1248,light hiking,Search,2,Catalog,5,Neni,-1,30,30,1
648609,3044,1249,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648610,3055,1249,lefkada,Search,2,Catalog,5,Neni,-1,30,50,2
648611,3112,1250,Russia Moscow Novgorod St. Petersburg,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648612,3044,1251,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648613,3044,1252,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648614,3065,1252,CATALOG,Info,4,Send catalog,7,In general,1000,30,50,2
648615,3044,1253,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648616,3047,1253,mountain expedition,Search,2,Catalog,5,VHT,21,60,101,2
648617,3052,1253,Far tours,Search,2,Catalog,5,exotica,5,60,125,3
648618,3113,1253,trip to India and Nepal,Trip,3,undetected,-1,exotica,5,60,143,4
648619,3114,1253,omo expedition wild tribes of Africa,Trip,3,undetected,-1,challenging expedition,18,30,78,5
648620,3044,1254,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648621,3063,1255,expedition,Search,2,Catalog,5,challenging expedition,18,30,30,1
648622,3044,1256,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648623,3045,1256,tours with tents,Search,2,Catalog,5,Tourism,1,60,101,2
648624,3058,1256,lastminute,Search,2,Catalog,5,Lastminute,101,30,62,3
648625,3054,1256,Corsica,Search,2,Catalog,5,Corsica,11,60,143,4
648626,3115,1256,Corsica emerald island of Corsica,Trip,3,undetected,-1,Tourism,1,30,78,5
648627,3044,1257,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648629,3044,1257,TravelAgency,Info,1,homepage,1,In general,1000,30,62,3
648628,3046,1257,hiking,Search,2,Catalog,5,Hiking,3,120,203,2
648630,3116,1258,accommodation with private transportation,Search,2,Catalog,5,Holiday Shipping,13,60,60,1
648632,3058,1258,lastminute,Search,2,Catalog,5,Lastminute,101,30,62,3
648631,3117,1258,Aeolian Islands,Trip,3,undetected,-1,Holiday Shipping,13,60,101,2
648635,3119,1259,Iceland southern Norway Faroe Islands,Trip,3,undetected,-1,Tourism,1,180,377,3
648638,3120,1259,island country of fire and ice,Trip,3,undetected,-1,hotelbuses,17,30,83,6
648633,3118,1259,APPLICATION,Application,5,Application,9,In general,1000,30,30,1
648634,3064,1259,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,101,2
648637,3064,1259,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,156,5
648639,3064,1259,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,30,88,7
648636,3065,1259,CATALOG,Info,4,Send catalog,7,In general,1000,30,71,4
648640,3089,1260,Bulgaria,Search,2,Catalog,5,Bulgaria,15,30,30,1
648643,3089,1260,Bulgaria,Search,2,Catalog,5,Bulgaria,15,30,71,4
648641,3090,1260,Bulgaria stay with holiday trips 05,Trip,3,undetected,-1,Bulgaria,15,60,101,2
648642,3122,1260,Lefkada air package tours,Trip,3,undetected,-1,Tourist,0,120,251,3
648644,3090,1260,Bulgaria stay with holiday trips 05,Trip,3,undetected,-1,Bulgaria,15,30,78,5
648645,3121,1261,National parks and the sea Greece,Trip,3,undetected,-1,Tourism,1,30,30,1
648646,3044,1262,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648647,3044,1263,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648648,3044,1264,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648649,3057,1264,hotelbuses,Search,2,Catalog,5,hotelbuses,17,60,101,2
648650,3058,1264,lastminute,Search,2,Catalog,5,Lastminute,101,30,62,3
648651,3123,1265,stays with trips,Search,2,Catalog,5,Stays with trips,6,30,30,1
648652,3044,1266,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648653,3044,1267,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648654,3067,1267,Aeolian Islands,Search,2,Catalog,5,Lipari,10,30,50,2
648657,3124,1268,6 countries,Search,2,Country,2,In general,1000,30,62,3
648655,3044,1268,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648656,3044,1268,TravelAgency,Info,1,homepage,1,In general,1000,60,101,2
648658,3125,1268,London England (with a trip to Stonehenge and Oxford),Trip,3,undetected,-1,School tours,7,30,71,4
648659,3044,1269,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648660,3126,1270,Greek national parks and sea greece,Trip,3,undetected,-1,Tourism,1,30,30,1
648661,3127,1271,Norway beautiful hiking trails middle of Norway,Trip,3,undetected,-1,Tours with lightweight tourism,19,30,30,1
648662,3128,1272,Norway journey to the far north Lofoten,Trip,3,undetected,-1,Tourism,1,30,30,1
648663,3044,1273,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648664,3065,1273,CATALOG,Info,4,Send catalog,7,In general,1000,60,101,2
648665,3044,1274,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648669,3044,1274,TravelAgency,Info,1,homepage,1,In general,1000,60,156,5
648670,3044,1274,TravelAgency,Info,1,homepage,1,In general,1000,30,83,6
648666,3129,1274,sightseeing tours,Search,2,Catalog,5,Tours with accommodation,8,60,101,2
648667,3067,1274,Aeolian Islands,Search,2,Catalog,5,Lipari,10,30,62,3
648668,3081,1274,Sicily Aeolian Islands with a visit to Sicily vacation residence with 05 trips,Trip,3,undetected,-1,Lipari,10,900,2147,4
648671,3044,1275,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648672,3044,1276,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648676,3044,1276,TravelAgency,Info,1,homepage,1,In general,1000,30,78,5
648673,3058,1276,lastminute,Search,2,Catalog,5,Lastminute,101,60,101,2
648674,3129,1276,sightseeing tours,Search,2,Catalog,5,Tours with accommodation,8,60,125,3
648675,3130,1276,Magic Normandy France,Trip,3,undetected,-1,Tours with accommodation,8,720,1718,4
648677,3044,1277,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648678,3055,1277,lefkada,Search,2,Catalog,5,Neni,-1,60,101,2
648679,3058,1277,lastminute,Search,2,Catalog,5,Lastminute,101,60,125,3
648680,3074,1277,cycling abroad,Search,2,Catalog,5,cyclo,4,30,71,4
648681,3053,1278,light hiking,Search,2,Catalog,5,Neni,-1,30,30,1
648682,3046,1278,hiking,Search,2,Catalog,5,Hiking,3,60,101,2
648683,3064,1278,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,30,62,3
648684,3044,1279,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648685,3054,1279,Corsica,Search,2,Catalog,5,Corsica,11,30,50,2
648686,3089,1279,Bulgaria,Search,2,Catalog,5,Bulgaria,15,30,62,3
648687,3058,1279,lastminute,Search,2,Catalog,5,Lastminute,101,30,71,4
648688,3044,1280,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648694,3044,1280,TravelAgency,Info,1,homepage,1,In general,1000,60,176,7
648689,3045,1280,tours with tents,Search,2,Catalog,5,Tourism,1,30,50,2
648690,3131,1280,Montenegro national parks and mountains Black Sea,Trip,3,undetected,-1,Tourism,1,60,125,3
648691,3132,1280,Albania country eagles sea and mountains,Trip,3,undetected,-1,Tourism,1,30,71,4
648692,3134,1280,pearls Yugoslav Balkans,Trip,3,undetected,-1,Tourism,1,120,313,5
648693,3066,1280,DISCOUNT,Info,4,Sales,8,In general,1000,240,670,6
648695,3065,1280,CATALOG,Info,4,Send catalog,7,In general,1000,30,92,8
648696,3044,1281,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648697,3133,1281,Morocco Morocco Maghreb tour of Pearl,Trip,3,undetected,-1,Tourism,1,30,50,2
648698,3120,1282,island country of fire and ice,Trip,3,undetected,-1,hotelbuses,17,30,30,1
648699,3044,1283,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648700,3044,1284,TravelAgency,Info,1,homepage,1,In general,1000,180,180,1
648701,3044,1284,TravelAgency,Info,1,homepage,1,In general,1000,60,101,2
648702,3066,1284,DISCOUNT,Info,4,Sales,8,In general,1000,30,62,3
648703,3044,1285,TravelAgency,Info,1,homepage,1,In general,1000,240,240,1
648704,3044,1285,TravelAgency,Info,1,homepage,1,In general,1000,30,50,2
648705,3066,1285,DISCOUNT,Info,4,Sales,8,In general,1000,300,629,3
648706,3044,1286,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648707,3095,1287,21 countries,Search,2,Country,2,In general,1000,30,30,1
648708,3061,1288,04 05 New Year&#39;s Eve New Year&#39;s Eve bikaoský Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,30,1
648709,3135,1289,Scotland United circuit Scotland,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648711,3044,1290,TravelAgency,Info,1,homepage,1,In general,1000,30,50,2
648710,3065,1290,CATALOG,Info,4,Send catalog,7,In general,1000,30,30,1
648712,3136,1291,England France Ireland capital Dublin Paris London sightseeing tour,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648713,3044,1292,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648714,3058,1292,lastminute,Search,2,Catalog,5,Lastminute,101,60,101,2
648715,3046,1292,hiking,Search,2,Catalog,5,Hiking,3,30,62,3
648716,3137,1292,corsica gr,Trip,3,undetected,-1,Hiking,3,180,429,4
648717,3140,1292,output Triglav,Trip,3,undetected,-1,Hiking,3,120,313,5
648718,3141,1292,Romania chains for real rogues,Trip,3,undetected,-1,Hiking,3,30,83,6
648719,3142,1292,Russian Caucasus and Elbrus Bezing for climbers and hikers (bus),Trip,3,undetected,-1,Hiking,3,300,883,7
648720,3147,1292,Spanish Pyrenees,Trip,3,undetected,-1,Hiking,3,60,184,8
648721,3148,1292,Baltics Russia Norway Finland Sweden Great Northern Way,Trip,3,undetected,-1,Tourism,1,30,95,9
648722,3044,1293,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648723,3047,1294,mountain expedition,Search,2,Catalog,5,VHT,21,60,60,1
648724,3063,1294,expedition,Search,2,Catalog,5,challenging expedition,18,30,50,2
648725,3047,1294,mountain expedition,Search,2,Catalog,5,VHT,21,60,125,3
648726,3138,1294,INSURANCE,Info,1,Insurance,6,In general,1000,30,71,4
648727,3044,1295,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648732,3044,1295,TravelAgency,Info,1,homepage,1,In general,1000,30,83,6
648733,3044,1295,TravelAgency,Info,1,homepage,1,In general,1000,30,88,7
648736,3146,1295,TravelAgency,Info,1,homepage,1,In general,1000,30,99,10
648728,3056,1295,stays with trips,Search,2,Catalog,5,Stays with trips,6,60,101,2
648729,3077,1295,Magic Spanish Andalusia,Trip,3,undetected,-1,Stays with trips,6,60,125,3
648730,3076,1295,Spain French Riviera,Trip,3,undetected,-1,Stays with trips,6,60,143,4
648731,3077,1295,Magic Spanish Andalusia,Trip,3,undetected,-1,Stays with trips,6,240,626,5
648735,3077,1295,Magic Spanish Andalusia,Trip,3,undetected,-1,Stays with trips,6,60,191,9
648734,3064,1295,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,184,8
648738,3139,1296,37 countries,Search,2,Country,2,In general,1000,660,1117,2
648737,3044,1296,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648739,3078,1296,Mexico Guatemala Belize Honduras,Trip,3,undetected,-1,exotica,5,30,62,3
648740,3044,1297,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648741,3044,1298,TravelAgency,Info,1,homepage,1,In general,1000,360,360,1
648742,3046,1298,hiking,Search,2,Catalog,5,Hiking,3,60,101,2
648743,3074,1298,cycling abroad,Search,2,Catalog,5,cyclo,4,60,125,3
648745,3048,1298,water,Search,2,Catalog,5,Water,2,30,78,5
648744,3151,1298,"Austro around lakes, mountains and lakes of the Salzkammergut cycling tour",Trip,3,undetected,-1,cyclo,4,420,1002,4
648747,3145,1299,lefkada,Search,2,Catalog,5,Neni,-1,120,203,2
648749,3145,1299,lefkada,Search,2,Catalog,5,Neni,-1,120,286,4
648746,3098,1299,Bulgarian national parks and the sea Bulgaria holiday 05,Trip,3,undetected,-1,Tours with lightweight tourism,19,120,120,1
648750,3149,1299,Bulgaria stay with tours,Trip,3,undetected,-1,Bulgaria,15,30,78,5
648748,3064,1299,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,30,62,3
648751,3143,1300,France region Celts wine and cathedrals,Trip,3,undetected,-1,Tourism,1,30,30,1
648752,3144,1301,Croatia n hometown parks and kor ula,Trip,3,undetected,-1,Tours with lightweight tourism,19,30,30,1
648753,3044,1302,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648754,3044,1303,TravelAgency,Info,1,homepage,1,In general,1000,120,120,1
648761,3044,1303,TravelAgency,Info,1,homepage,1,In general,1000,30,92,8
648755,3063,1303,expedition,Search,2,Catalog,5,challenging expedition,18,420,711,2
648756,3052,1303,Far tours,Search,2,Catalog,5,exotica,5,120,251,3
648757,3048,1303,water,Search,2,Catalog,5,Water,2,60,143,4
648758,3056,1303,stays with trips,Search,2,Catalog,5,Stays with trips,6,30,78,5
648759,3049,1303,rafting,Search,2,Catalog,5,rafting,24,60,167,6
648760,3158,1303,climbing school,Search,2,Catalog,5,climbing school,14,60,176,7
648763,3150,1304,49 countries,Search,2,Country,2,In general,1000,60,101,2
648762,3146,1304,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648766,3058,1304,lastminute,Search,2,Catalog,5,Lastminute,101,30,78,5
648764,3152,1304,Siberut island wild mentawajů Sumatra,Trip,3,undetected,-1,challenging expedition,18,120,251,3
648765,3154,1304,mont Kenya (5199 m) African adventure,Trip,3,undetected,-1,VHT,21,120,286,4
648767,3153,1305,CKP sheet tours,undetected,-2,list_tour,-2,undetected,-2,360,360,1
648768,3156,1305,CKP sheet tours,undetected,-2,list_tour,-2,undetected,-2,30,50,2
648769,3157,1305,CKP sheet tours,undetected,-2,list_tour,-2,undetected,-2,660,1385,3
648770,3160,1305,CKP sheet tours,undetected,-2,list_tour,-2,undetected,-2,30,71,4
648771,3044,1306,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648772,3046,1306,hiking,Search,2,Catalog,5,Hiking,3,30,50,2
648773,3044,1307,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
